"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 19 22:24:32 CST 2023","Mon Jun 19 22:24:32 CST 2023","4","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","setSharing_test4","setSharing_test4()",""
"passed","Mon Jun 19 22:24:32 CST 2023","Mon Jun 19 22:24:32 CST 2023","5","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","setSharing_test7","setSharing_test7()",""
"passed","Mon Jun 19 22:24:32 CST 2023","Mon Jun 19 22:24:32 CST 2023","11","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","getSharing_test2","getSharing_test2()",""
"passed","Mon Jun 19 22:24:31 CST 2023","Mon Jun 19 22:24:32 CST 2023","1138","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","getSharing_test1","getSharing_test1()",""
"passed","Mon Jun 19 22:24:32 CST 2023","Mon Jun 19 22:24:32 CST 2023","10","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","getSharing_test3","getSharing_test3()",""
"passed","Mon Jun 19 22:24:32 CST 2023","Mon Jun 19 22:24:32 CST 2023","3","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","setSharing_test3","setSharing_test3()",""
"passed","Mon Jun 19 22:24:32 CST 2023","Mon Jun 19 22:24:32 CST 2023","6","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","setSharing_test6","setSharing_test6()",""
"passed","Mon Jun 19 22:24:32 CST 2023","Mon Jun 19 22:24:32 CST 2023","3","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","setSharing_test5","setSharing_test5()",""
"passed","Mon Jun 19 22:24:32 CST 2023","Mon Jun 19 22:24:32 CST 2023","5","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","setSharing_test1","setSharing_test1()",""
"passed","Mon Jun 19 22:24:32 CST 2023","Mon Jun 19 22:24:32 CST 2023","4","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","","com.ticket.sharingsystem.service.impl.SharingServiceImplTest","setSharing_test2","setSharing_test2()",""
